domain,scan url,category
gsaauctions.gov,https://gsaauctions.gov/index.htm,HSTS
gsaelibrary.gsa.gov,https://gsaelibrary.gsa.gov,HSTS
resources.data.gov,https://resources.data.gov,HSTS
resources.data.gov,https://resources.data.gov,Banner
resources.data.gov,https://resources.data.gov,Contact
resources.data.gov,https://resources.data.gov,DAP
gsaglobalsupply.gsa.gov,https://gsaglobalsupply.gsa.gov,HSTS
management.cio.gov,https://management.cio.gov,HSTS
mysales.fas.gsa.gov,https://mysales.fas.gsa.gov,HSTS
mysmartplans.gsa.gov,https://mysmartplans.gsa.gov/GSA_WEB_Start.htm,HSTS
odp.gsa.gov,https://github.com/login?return_to=%2Fpages%2Fauth%3Fnonce%3D18630cb8-6f6e-4afb-a342-acdd04a2a754%26page_id%3D18363620%26path%3DLw,HSTS
sdg.data.gov,https://sdg.data.gov,HSTS
sdg.data.gov,https://sdg.data.gov,Contact
sdg.data.gov,https://sdg.data.gov,DAP
search.gov,https://search.gov,HSTS
search.gov,https://search.gov,Contact
search.gov,https://search.gov,DAP
pic.gov,https://www.pic.gov/,HSTS
secure.login.gov,https://secure.login.gov,HSTS
secure.login.gov,https://secure.login.gov,Banner
secure.login.gov,https://secure.login.gov,DAP
playbook.cio.gov,https://playbook.cio.gov,HSTS
property.reporting.gov,https://www.property.reporting.gov/PPRT/PPRTLogin,HSTS
property.reporting.gov,https://www.property.reporting.gov/PPRT/PPRTLogin,Banner
property.reporting.gov,https://www.property.reporting.gov/PPRT/PPRTLogin,Contact
property.reporting.gov,https://www.property.reporting.gov/PPRT/PPRTLogin,Identifier Accessibility
property.reporting.gov,https://www.property.reporting.gov/PPRT/PPRTLogin,Identifier
property.reporting.gov,https://www.property.reporting.gov/PPRT/PPRTLogin,Identifier Privacy
property.reporting.gov,https://www.property.reporting.gov/PPRT/PPRTLogin,Identifier FOIA
realestatesales.gov,https://realestatesales.gov,HSTS
realpropertyprofile.gov,https://www.realpropertyprofile.gov/FRPPMS,HSTS
regulations.gov,https://www.regulations.gov/,DAP
strategy.data.gov,https://strategy.data.gov,HSTS
strategy.data.gov,https://strategy.data.gov,Banner
strategy.data.gov,https://strategy.data.gov,DAP
tailored.fedramp.gov,https://tailored.fedramp.gov,HSTS
tailored.fedramp.gov,https://tailored.fedramp.gov,DAP
sat.reginfo.gov,https://sat.reginfo.gov/public/,HSTS
spdatawarehouse.gsa.gov,https://spdatawarehouse.gsa.gov/smartpay/,HSTS
tams.gsa.gov,https://tams.gsa.gov,HSTS
thenamingcommission.gov,https://www.thenamingcommission.gov/,Contact
tmss.gsa.gov,https://tmss.gsa.gov/tmss/,HSTS
usaccess-alp.gsa.gov,https://usaccess-alp.gsa.gov,HSTS
tophealth.pif.gov,https://tophealth.pif.gov,HSTS
touchpoints.digital.gov,https://touchpoints.digital.gov,HSTS
touchpoints.digital.gov,https://touchpoints.digital.gov,Identifier FOIA
touchpoints.digital.gov,https://touchpoints.digital.gov,Banner
touchpoints.digital.gov,https://touchpoints.digital.gov,Contact
usdaadvantage.gsa.gov,https://usdaadvantage.gsa.gov,HSTS
usmcservmart.gsa.gov,https://usmcservmart.gsa.gov,HSTS
vaadvantage.gsa.gov,https://vaadvantage.gsa.gov,HSTS
usa.gov,https://www.usa.gov/,HSTS
usa.gov,https://www.usa.gov/,Banner
usability.gov,https://www.usability.gov/,HSTS
usability.gov,https://www.usability.gov/,Identifier Privacy
usability.gov,https://www.usability.gov/,Identifier Accessibility
usability.gov,https://www.usability.gov/,Identifier FOIA
vcss.ocfo.gsa.gov,https://phdc-pub.gsa.gov/vcssregistration/,HSTS
vehicledispatch.fas.gsa.gov,https://vehicledispatch.fas.gsa.gov,HSTS
usdigitalregistry.digitalgov.gov,https://usdigitalregistry.digitalgov.gov,HSTS
usdigitalregistry.digitalgov.gov,https://usdigitalregistry.digitalgov.gov,Identifier FOIA
usdigitalregistry.digitalgov.gov,https://usdigitalregistry.digitalgov.gov,Banner
usdigitalregistry.digitalgov.gov,https://usdigitalregistry.digitalgov.gov,Contact
usdigitalregistry.digitalgov.gov,https://usdigitalregistry.digitalgov.gov,DAP
mcm.fas.gsa.gov,https://mcm.fas.gsa.gov,HSTS
buy.gsa.gov,https://buy.gsa.gov,HSTS
ux-guide.18f.gov,https://ux-guide.18f.gov,HSTS
ux-guide.18f.gov,https://ux-guide.18f.gov,Identifier FOIA
ux-guide.18f.gov,https://ux-guide.18f.gov,Banner
ux-guide.18f.gov,https://ux-guide.18f.gov,DAP
domains.dotgov.gov,https://domains.dotgov.gov/dotgov-web/,HSTS
domains.dotgov.gov,https://domains.dotgov.gov/dotgov-web/,Contact
domains.dotgov.gov,https://domains.dotgov.gov/dotgov-web/,DAP
hallways.cap.gsa.gov,https://hallways.cap.gsa.gov/,HSTS
vote.gov,https://vote.gov,HSTS
vote.gov,https://vote.gov,Banner
insite.gsa.gov,https://secureauth.gsa.gov/SecureAuth233?SAMLRequest=fVPbbuIwEH3vV6C8Q27cakGkbGi7SCwgkq5W%2B1IZZ0otJXbW47D072sbSqnU4jfPnDkz53g8QVpXDUlb%2FSI28K8F1DedzqGuBBKXmnqtEkRS5EgErQGJZiRPfy1I1AtIo6SWTFbep6LrNRQRlOZS2KL5bOqtlneL1cN8%2BdSPR8GQUhiX8YhuWUD7MYMR3MIYgmEMIxYNWX8MW1v4GxQajqlnKO19reSel6CWpt%2FUy4o0c%2FSILcwFaiq0gQZR1A3CbhgV4YBEAxIP%2FlrUzKjmgmrH96J1g8T3EVirgBpjejukvZ3c%2B7kLWa%2BiOD41dfJ%2FcFFysbuue3sEIflZFOvuepUXliJ9dyOTAtsaVA5qzxk8bhYfs3CBXMN5Duuxz454LzEkExshTqxKHvL06WPSiX%2BZM9gTuiHWqflsLSvOXl3cnnupaqq%2FFxL2QhfhZffZQQnUlFdpWSpA9M48aVXJ%2F5nxT5vX0KoFr%2BN%2F6n5aNijd6hnxGg66k8m6oYqjfQg4UKa95Ex5FHkJzyqzSxt4Tq6uGyPM4kz4zyC4PfnxJc1xPv%2FKgMnNe%2FryxyRv&RelayState=https%3A%2F%2Finsite.gsa.gov%2F,HSTS
wp-bsp.data.gov,https://wp-bsp.data.gov,HSTS
scopereview.gsa.gov,https://scopereview.gsa.gov/node,HSTS
tscportal.fas.gsa.gov,https://tscportal.fas.gsa.gov,HSTS
portal.eos.gsa.gov,https://portal.eos.gsa.gov,HSTS
piv.golearnportal.org,https://piv.golearnportal.org,HSTS
piv.golearnportal.org,https://piv.golearnportal.org,Contact
labs.gsa.gov,https://labs.gsa.gov/s/,HSTS
labs.gsa.gov,https://labs.gsa.gov/s/,Contact
labs.gsa.gov,https://labs.gsa.gov/s/,DAP
labs.gsa.gov,https://labs.gsa.gov/s/,Identifier FOIA
labs.gsa.gov,https://labs.gsa.gov/s/,Identifier
labs.gsa.gov,https://labs.gsa.gov/s/,Banner
labs.gsa.gov,https://labs.gsa.gov/s/,Identifier Accessibility
labs.gsa.gov,https://labs.gsa.gov/s/,Identifier Privacy
labs.gsa.gov,https://labs.gsa.gov/s/,Search
cmls.gsa.gov,https://cmls.gsa.gov/s/,HSTS
cmls.gsa.gov,https://cmls.gsa.gov/s/,Contact
cmls.gsa.gov,https://cmls.gsa.gov/s/,DAP
cmls.gsa.gov,https://cmls.gsa.gov/s/,Identifier FOIA
cmls.gsa.gov,https://cmls.gsa.gov/s/,Identifier
cmls.gsa.gov,https://cmls.gsa.gov/s/,Banner
cmls.gsa.gov,https://cmls.gsa.gov/s/,Identifier Accessibility
cmls.gsa.gov,https://cmls.gsa.gov/s/,Identifier Privacy
cmls.gsa.gov,https://cmls.gsa.gov/s/,Search
disposal.gsa.gov,https://disposal.gsa.gov/s/,HSTS
disposal.gsa.gov,https://disposal.gsa.gov/s/,Contact
disposal.gsa.gov,https://disposal.gsa.gov/s/,DAP
disposal.gsa.gov,https://disposal.gsa.gov/s/,Identifier FOIA
disposal.gsa.gov,https://disposal.gsa.gov/s/,Identifier
disposal.gsa.gov,https://disposal.gsa.gov/s/,Banner
disposal.gsa.gov,https://disposal.gsa.gov/s/,Identifier Accessibility
disposal.gsa.gov,https://disposal.gsa.gov/s/,Identifier Privacy
disposal.gsa.gov,https://disposal.gsa.gov/s/,Search
